"","BRZ","KEY","LA","MRT","PNS","PR","SCA","TX","VZ"
"BRZ",0,0.14791571439202,0.0924703069505707,0.151902497045839,0.10713718704709,0.128682104709571,0.0812860717328979,0.205479449232695,0.0972516657286677
"KEY",0.14791571439202,0,0.131789255837062,0.211843890612598,0.127418197284611,0.110454422069041,0.133872115390488,0.267849883579067,0.105564782116356
"LA",0.0924703069505707,0.131789255837062,0,0.112464218895533,0.067622032226414,0.105602642969681,0.0534169830291547,0.174697954941065,0.0678209094543387
"MRT",0.151902497045839,0.211843890612598,0.112464218895533,0,0.116884002504101,0.188016117624631,0.10957950122085,0.100763216156148,0.145617545782196
"PNS",0.10713718704709,0.127418197284611,0.067622032226414,0.116884002504101,0,0.121112940245315,0.0765145481803977,0.178517919871116,0.0801117450317194
"PR",0.128682104709571,0.110454422069041,0.105602642969681,0.188016117624631,0.121112940245315,0,0.115972062142929,0.260622559817671,0.104953764674218
"SCA",0.0812860717328979,0.133872115390488,0.0534169830291547,0.10957950122085,0.0765145481803977,0.115972062142929,0,0.166096830570899,0.0729462000868961
"TX",0.205479449232695,0.267849883579067,0.174697954941065,0.100763216156148,0.178517919871116,0.260622559817671,0.166096830570899,0,0.195504122231628
"VZ",0.0972516657286677,0.105564782116356,0.0678209094543387,0.145617545782196,0.0801117450317194,0.104953764674218,0.0729462000868961,0.195504122231628,0
